TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
Arc 1950 To WGS 1984 6,-134,-105,-295,0,0,0,0,0,0,0
Arc 1950 To WGS 1984 7,-169,-19,-278,0,0,0,0,0,0,0
Arc 1950 To WGS 1984 8,-147,-74,-283,0,0,0,0,0,0,0
Arc 1950 To WGS 1984 9,-142,-96,-293,0,0,0,0,0,0,0
Arc 1960 To WGS 1984,-160,-6,-302,0,0,0,0,0,0,0
Batavia To WGS 1984,-377,681,-50,0,0,0,0,0,0,0
Bermuda 1957 To WGS 1984,-73,213,296,0,0,0,0,0,0,0
Bogota To WGS 1984,307,304,-318,0,0,0,0,0,0,0
Bukit Rimpah To WGS 1984,-384,664,-48,0,0,0,0,0,0,0
Campo Inchauspe To WGS 1984,-148,136,90,0,0,0,0,0,0,0
Cape To WGS 1984 1,-136,-108,-292,0,0,0,0,0,0,0
Cape To WGS 1984 2,-134.73,-110.92,-292.66,0,0,0,0,0,0,0
Chua To WGS 1984,-134,229,-29,0,0,0,0,0,0,0
Corrego Alegre To WGS 1984,-206,172,-6,0,0,0,0,0,0,0
ED 1950 To WGS 1984 1,-87,-98,-121,0,0,0,0,0,0,0
ED 1950 To WGS 1984 2,-87,-96,-120,0,0,0,0,0,0,0
ED 1950 To WGS 1984 3,-103,-106,-141,0,0,0,0,0,0,0
ED 1950 To WGS 1984 4,-104,-101,-140,0,0,0,0,0,0,0
ED 1950 To WGS 1984 5,-130,-117,-151,0,0,0,0,0,0,0
ED 1950 To WGS 1984 6,-86,-96,-120,0,0,0,0,0,0,0
ED 1950 To WGS 1984 7,-87,-95,-120,0,0,0,0,0,0,0
ED 1950 To WGS 1984 8,-84,-95,-130,0,0,0,0,0,0,0
ED 1950 To WGS 1984 9,-117,-132,-164,0,0,0,0,0,0,0
ED 1950 To WGS 1984 10,-97,-103,-120,0,0,0,0,0,0,0
ED 1950 To WGS 1984 11,-97,-88,-135,0,0,0,0,0,0,0
ED 1950 To WGS 1984 12,-107,-88,-149,0,0,0,0,0,0,0
ED 1950 To WGS 1984 13,-84,-107,-120,0,0,0,0,0,0,0
ED 1987 To WGS 1984 1,-82.981,-99.719,-110.709,-0.104700016,0.0310016,0.080402021,-3.143E-07,0,0,0
Egypt 1907 To WGS 1984,-130,110,-13,0,0,0,0,0,0,0
ETRS 1989 To WGS 1984,0,0,0,0,0,0,0,0,0,0
GDA 1994 To WGS 1984,0,0,0,0,0,0,0,0,0,0
NZGD 1949 To WGS 1984,84,-22,209,0,0,0,0,0,0,0
Hu Tzu Shan To WGS 1984,-637,-549,-203,0,0,0,0,0,0,0
Indian 1954 To WGS 1984,217,823,299,0,0,0,0,0,0,0
Indian 1975 To WGS 1984,209,818,290,0,0,0,0,0,0,0
Kalianpur 1937 To WGS 1984 1,282,726,254,0,0,0,0,0,0,0
Kalianpur 1975 To WGS 1984 1,295,736,257,0,0,0,0,0,0,0
Kandawala To WGS 1984,-97,787,86,0,0,0,0,0,0,0
Kertau To WGS 1984,-11,851,5,0,0,0,0,0,0,0
Leigon To WGS 1984,-130,29,364,0,0,0,0,0,0,0
Liberia 1964 To WGS 1984,-90,40,88,0,0,0,0,0,0,0
Luzon 1911 To WGS 1984 1,-133,-77,-51,0,0,0,0,0,0,0
Luzon 1911 To WGS 1984 2,-133,-79,-72,0,0,0,0,0,0,0
Mporaloko To WGS 1984,-74,-130,42,0,0,0,0,0,0,0
Mahe 1971 To WGS 1984,41,-220,-134,0,0,0,0,0,0,0
Massawa To WGS 1984,639,405,60,0,0,0,0,0,0,0
Minna To WGS 1984 1,-81,-84,115,0,0,0,0,0,0,0
Minna To WGS 1984 2,-92,-93,122,0,0,0,0,0,0,0
Monte Mario To WGS 1984,-225,-65,9,0,0,0,0,0,0,0
NAD 1983 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Nahrwan 1967 To WGS 1984 1,-247,-148,369,0,0,0,0,0,0,0
Nahrwan 1967 To WGS 1984 2,-243,-192,477,0,0,0,0,0,0,0
Nahrwan 1967 To WGS 1984 3,-249,-156,381,0,0,0,0,0,0,0
Naparima 1972 To WGS 1984,-10,375,165,0,0,0,0,0,0,0
NTF To WGS 1984,-168,-60,320,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 1,375,-111,431,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 2,371,-112,434,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 3,371,-111,434,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 4,384,-111,425,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 5,370,-108,434,0,0,0,0,0,0,0
